h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
2.077024221,0.28768006,7,0.470280647,0,0.6,173944.22,394.31,157.72,7470.5,6893.73,1.08,-1511.02,1035.04,1.46,419.24,8186.87,0.05,10.5,0.2,32.67,0.74,1.48,3.33,4.23,4.04,5.36,8.31,1,1,0,1,0,0,0,0,0,0,0
0.960309267,0.375901759,2,0.964804888,3,4.14,174243.75,390.38,156.15,11372.7,3111.15,3.66,1856.33,838.67,2.21,1366.44,22380.57,0.06,174.8,3.13,558.56,11.66,0.87,1.26,1.86,1.32,2.19,2.72,0,0,0,1,0,0,0,0,0,0,0
1.479136586,0.159997866,3,1.238599062,2,3.27,100474.5,220.26,88.11,-6194.96,4868.54,1.27,-1084.14,957.14,1.13,370.5,34446.15,0.01,26.9,0.51,73.08,1.62,1.31,2.81,3.41,2.94,4.9,7.98,1,0,0,0,1,0,0,0,0,0,0
0.989891112,0.076637372,2,0.684581161,0,0.9,41459.34,91.35,36.54,-3447.12,3211.35,1.07,-559.07,847.61,0.66,357.44,13136.62,0.03,31.4,0.62,98.31,2.25,1.24,2.12,2.68,2.51,3.06,3.28,1,0,0,0,1,0,0,0,0,0,0
1.504050374,0.233190119,3,0.973906755,0,1.11,128149.12,286.23,114.49,-6781.11,4952.93,1.37,-1282.23,961.3,1.33,505.76,22733.48,0.02,17.8,0.35,55.69,1.28,1.7,3.24,4.55,4.02,4.28,8.46,1,0,0,0,1,0,0,0,0,0,0
1.589547873,0.1517739,2,1.045783043,2,6.58,101782.98,224.18,89.67,-7442.06,5242.53,1.42,-1181.25,974.84,1.21,650.98,25636.84,0.03,34.1,0.62,80.32,1.71,1.4,2.1,2.86,2.41,3.85,4.7,0,0,0,0,1,0,0,0,0,0,0
1.105620265,0.11351572,2,1.304287076,0,3.12,75091.98,159.99,64,-6468.51,3603.35,1.8,-900.31,879.46,1.02,454.55,37786.89,0.01,61,1.12,211.49,4.53,1.12,1.7,3.99,2.25,3.04,5.17,0,0,0,0,1,0,0,0,1,0,0
2.134601593,0.100130104,2,0.688020706,3,6.78,80446.52,179.63,71.85,8179.96,7088.75,1.15,947.69,1040.69,0.91,828.05,13231.05,0.06,42.5,0.73,143.68,2.88,1.39,2.5,3.36,2.38,3.26,4.49,0,0,0,1,0,0,0,0,0,1,1
1.868742108,0.087389879,2,1.51333487,2,4.44,77656.1,161.15,64.46,-5010.25,6188.23,0.81,-822.02,1012.32,0.81,456.82,49567.25,0.01,22,0.41,55.43,1.2,1.25,2.12,3.8,2.86,4.4,5.44,0,0,0,0,1,0,0,0,0,0,0
1.468918681,0.256951302,7,0.648259938,2,3.57,139243.04,314.74,125.9,-7854.79,4833.93,1.63,-1512.07,955.4,1.58,415.42,12168.42,0.03,35.5,0.67,88.44,1.95,1.46,2.4,2.78,2.96,4.53,7.54,1,0,0,0,1,0,0,0,0,0,0
1.429160714,0.311533183,7,0.810351789,1,2.77,169497.55,382.44,152.98,-7666.2,4699.26,1.63,-1501.84,948.47,1.58,224.95,16897,0.01,17.6,0.32,44.97,0.95,1.65,3.13,3.41,4.23,4.83,8.27,0,0,0,0,1,0,0,0,1,0,0
1.01377964,0.115263835,3,0.570869207,1,5.49,68353.51,153.76,61.5,-3413.98,3292.27,1.04,-692.9,854.58,0.81,314.75,10281.43,0.03,29.5,0.5,70.25,1.38,1.27,1.93,2.44,2.74,3.12,3.96,0,0,0,0,0,0,0,0,1,0,0
